State_Crop_District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Andhra Pradesh,,,,,
 1.ADILABAD, 1997-98,Rabi       ,3600,2000,0.56
, 1998-99,Rabi       ,2800,1600,0.57
, 1999-00,Rabi       ,3964,2656,0.67
, 2000-01,Rabi       ,3681,1848,0.50
, 2001-02,Rabi       ,3721,3327,0.89
, 2002-03,Rabi       ,3267,3006,0.92
, 2003-04,Rabi       ,3842,2298,0.60
, 2004-05,Rabi       ,2895,840,0.29
, 2005-06,Rabi       ,3920,1341,0.34
, 2006-07,Rabi       ,3222,2510,0.78
, 2007-08,Rabi       ,1000,1000,1.00
, 2008-09,Rabi       ,7180,8350,1.16
, 2009-10,Rabi       ,3392,4566,1.35
, 2010-11,Rabi       ,4046,5199,1.28
, 2011-12,Rabi       ,3275,4330,1.32
, 2012-13,Rabi       ,4000,4000,1.00
 2.ANANTAPUR, 1997-98,Rabi       ,300,200,0.67
, 1998-99,Rabi       ,400,200,0.50
, 1999-00,Rabi       ,439,294,0.67
, 2000-01,Rabi       ,520,297,0.57
, 2001-02,Rabi       ,307,213,0.69
, 2002-03,Rabi       ,362,333,0.92
, 2003-04,Rabi       ,414,123,0.30
, 2004-05,Rabi       ,393,88,0.22
, 2005-06,Rabi       ,297,175,0.59
, 2006-07,Rabi       ,190,50,0.26
, 2008-09,Rabi       ,164,217,1.32
, 2009-10,Rabi       ,179,97,0.54
, 2010-11,Rabi       ,131,171,1.31
, 2011-12,Rabi       ,75,100,1.33
, 2013-14,Rabi       ,62,39,0.63
, 2015-16,Rabi       ,19,12,0.63
 3.CHITTUR, 2000-01,Rabi       ,5,3,0.60
, 2001-02,Rabi       ,4,,0.00
, 2002-03,Rabi       ,5,7,1.40
, 2003-04,Rabi       ,7,2,0.29
, 2004-05,Rabi       ,2,,0.00
, 2006-07,Rabi       ,4,1,0.25
 4.GUNTUR, 2010-11,Rabi       ,43,56,1.30
 5.KADAPA, 1998-99,Rabi       ,100,,0.00
, 1999-00,Rabi       ,163,109,0.67
, 2000-01,Rabi       ,117,67,0.57
, 2001-02,Rabi       ,39,27,0.69
, 2002-03,Rabi       ,30,28,0.93
, 2003-04,Rabi       ,39,12,0.31
, 2004-05,Rabi       ,1,,0.00
, 2005-06,Rabi       ,81,48,0.59
, 2006-07,Rabi       ,32,8,0.25
, 2008-09,Rabi       ,122,83,0.68
, 2009-10,Rabi       ,61,79,1.30
, 2010-11,Rabi       ,20,26,1.30
, 2011-12,Rabi       ,17,22,1.29
, 2013-14,Rabi       ,12,8,0.67
, 2014-15,Rabi       ,274,195,0.71
, 2015-16,Rabi       ,4,3,0.75
, 2016-17,Rabi       ,1,2,2.00
 6.KARIMNAGAR, 1997-98,Rabi       ,200,100,0.50
, 1998-99,Rabi       ,200,100,0.50
, 1999-00,Rabi       ,161,108,0.67
, 2000-01,Rabi       ,171,98,0.57
, 2001-02,Rabi       ,151,105,0.70
, 2002-03,Rabi       ,115,106,0.92
, 2003-04,Rabi       ,147,87,0.59
, 2004-05,Rabi       ,65,34,0.52
, 2005-06,Rabi       ,101,83,0.82
, 2006-07,Rabi       ,59,55,0.93
, 2008-09,Rabi       ,14,16,1.14
, 2009-10,Rabi       ,2,2,1.00
, 2010-11,Rabi       ,7,9,1.29
, 2011-12,Rabi       ,16,21,1.31
 7.KURNOOL, 1997-98,Rabi       ,600,300,0.50
, 1998-99,Rabi       ,700,400,0.57
, 1999-00,Rabi       ,789,529,0.67
, 2000-01,Rabi       ,850,484,0.57
, 2001-02,Rabi       ,1264,876,0.69
, 2002-03,Rabi       ,941,867,0.92
, 2003-04,Rabi       ,694,206,0.30
, 2004-05,Rabi       ,393,88,0.22
, 2005-06,Rabi       ,711,418,0.59
, 2006-07,Rabi       ,670,176,0.26
, 2008-09,Rabi       ,747,405,0.54
, 2009-10,Rabi       ,550,251,0.46
, 2010-11,Rabi       ,563,808,1.44
, 2011-12,Rabi       ,221,243,1.10
, 2013-14,Rabi       ,274,202,0.74
, 2014-15,Rabi       ,46,61,1.33
, 2015-16,Rabi       ,141,100,0.71
, 2016-17,Rabi       ,32,74,2.31
 8.MAHBUBNAGAR, 1997-98,Rabi       ,300,200,0.67
, 1998-99,Rabi       ,200,100,0.50
, 1999-00,Rabi       ,137,92,0.67
, 2000-01,Rabi       ,315,179,0.57
, 2001-02,Rabi       ,218,151,0.69
, 2002-03,Rabi       ,216,199,0.92
, 2003-04,Rabi       ,231,137,0.59
, 2004-05,Rabi       ,297,157,0.53
, 2005-06,Rabi       ,172,142,0.83
, 2006-07,Rabi       ,62,58,0.94
, 2008-09,Rabi       ,39,45,1.15
, 2009-10,Rabi       ,67,73,1.09
, 2010-11,Rabi       ,32,42,1.31
, 2011-12,Rabi       ,14,20,1.43
