District,lat,lon,State
Port Blair,11.67,92.76,Andaman and Nicobar Islands
Adilabad,19.68,78.53,Andhra Pradesh
Adoni,15.63,77.28,Andhra Pradesh
Alwal,17.5,78.54,Andhra Pradesh
Anakapalle,17.69,83,Andhra Pradesh
Anantapur,14.7,77.59,Andhra Pradesh
Bapatla,15.91,80.47,Andhra Pradesh
Belampalli,19.06,79.49,Andhra Pradesh
Bhimavaram,16.55,81.53,Andhra Pradesh
Bhongir,17.52,78.88,Andhra Pradesh
Bobbili,18.57,83.37,Andhra Pradesh
Bodhan,18.66,77.88,Andhra Pradesh
Chilakalurupet,16.1,80.16,Andhra Pradesh
Chinna Chawk,14.47,78.83,Andhra Pradesh
Chirala,15.84,80.35,Andhra Pradesh
Chittur,13.22,79.1,Andhra Pradesh
Cuddapah,14.48,78.81,Andhra Pradesh
Dharmavaram,14.42,77.71,Andhra Pradesh
Dhone,15.42,77.88,Andhra Pradesh
Eluru,16.72,81.11,Andhra Pradesh
Gaddiannaram,17.36,78.52,Andhra Pradesh
Gadwal,16.23,77.8,Andhra Pradesh
Gajuwaka,17.7,83.21,Andhra Pradesh
Gudivada,16.44,81,Andhra Pradesh
Gudur,14.15,79.84,Andhra Pradesh
Guntakal,15.18,77.37,Andhra Pradesh
Guntur,16.31,80.44,Andhra Pradesh
Hindupur,13.83,77.48,Andhra Pradesh
Hyderabad,17.4,78.48,Andhra Pradesh
Jagtial,18.8,78.91,Andhra Pradesh
Kadiri,14.12,78.16,Andhra Pradesh
Kagaznagar,19.34,79.48,Andhra Pradesh
Kakinada,16.96,82.24,Andhra Pradesh
Kallur,15.69,77.77,Andhra Pradesh
Kamareddi,18.32,78.35,Andhra Pradesh
Kapra,17.37,78.48,Andhra Pradesh
Karimnagar,18.45,79.13,Andhra Pradesh
Karnul,15.83,78.03,Andhra Pradesh
Kavali,14.92,79.99,Andhra Pradesh
Khammam,17.25,80.15,Andhra Pradesh
Kodar,16.98,79.97,Andhra Pradesh
Kondukur,15.22,79.91,Andhra Pradesh
Koratla,18.82,78.72,Andhra Pradesh
Kottagudem,17.56,80.64,Andhra Pradesh
Kukatpalle,17.49,78.41,Andhra Pradesh
Lalbahadur Nagar,17.43,78.5,Andhra Pradesh
Machilipatnam,16.19,81.14,Andhra Pradesh
Mahbubnagar,16.74,77.98,Andhra Pradesh
Malkajgiri,17.55,78.59,Andhra Pradesh
Mancheral,18.88,79.45,Andhra Pradesh
Mandamarri,18.97,79.47,Andhra Pradesh
Mangalagiri,16.44,80.56,Andhra Pradesh
Markapur,15.73,79.28,Andhra Pradesh
Miryalaguda,16.87,79.57,Andhra Pradesh
Nalgonda,17.06,79.26,Andhra Pradesh
Nandyal,15.49,78.48,Andhra Pradesh
Narasapur,16.45,81.7,Andhra Pradesh
Narasaraopet,16.24,80.04,Andhra Pradesh
Nellur,14.46,79.98,Andhra Pradesh
Nirmal,19.12,78.35,Andhra Pradesh
Nizamabad,18.68,78.1,Andhra Pradesh
Nuzvid,16.78,80.85,Andhra Pradesh
Ongole,15.5,80.05,Andhra Pradesh
Palakollu,16.52,81.75,Andhra Pradesh
Palasa,18.77,84.42,Andhra Pradesh
Palwancha,17.6,80.68,Andhra Pradesh
Patancheru,17.53,78.27,Andhra Pradesh
Piduguralla,16.48,79.9,Andhra Pradesh
Ponnur,16.07,80.56,Andhra Pradesh
Proddatur,14.73,78.55,Andhra Pradesh
Qutubullapur,17.43,78.47,Andhra Pradesh
Rajamahendri,17.02,81.79,Andhra Pradesh
Rajampet,14.18,79.17,Andhra Pradesh
Rajendranagar,17.29,78.39,Andhra Pradesh
Ramachandrapuram,17.56,78.04,Andhra Pradesh
Ramagundam,18.8,79.45,Andhra Pradesh
Rayachoti,14.05,78.75,Andhra Pradesh
Rayadrug,14.7,76.87,Andhra Pradesh
Samalkot,17.06,82.18,Andhra Pradesh
Sangareddi,17.63,78.08,Andhra Pradesh
Sattenapalle,16.4,80.18,Andhra Pradesh
Serilungampalle,17.48,78.33,Andhra Pradesh
Siddipet,18.11,78.84,Andhra Pradesh
Sikandarabad,17.47,78.52,Andhra Pradesh
Sirsilla,18.4,78.81,Andhra Pradesh
Srikakulam,18.3,83.9,Andhra Pradesh
Srikalahasti,13.76,79.7,Andhra Pradesh
Suriapet,17.15,79.62,Andhra Pradesh
Tadepalle,16.48,80.6,Andhra Pradesh
Tadepallegudem,16.82,81.52,Andhra Pradesh
Tadpatri,14.91,78,Andhra Pradesh
Tandur,17.25,77.58,Andhra Pradesh
Tanuku,16.75,81.69,Andhra Pradesh
Tenali,16.24,80.65,Andhra Pradesh
Tirupati,13.63,79.41,Andhra Pradesh
Tuni,17.35,82.55,Andhra Pradesh
Uppal Kalan,17.38,78.55,Andhra Pradesh
Vijayawada,16.52,80.63,Andhra Pradesh
Vinukonda,16.05,79.75,Andhra Pradesh
Visakhapatnam,17.73,83.3,Andhra Pradesh
Vizianagaram,18.12,83.4,Andhra Pradesh
